"Designator","Quantity","Value","Footprint","Manufacturer","MPN","LCSC"
"C1,C31,C32,C33","4","10u 50V","Capacitor_SMD:C_0805_2012Metric","Murata","GRM21BR61H106KE43L","C440198"
"C2,C14","2","4.7u","Capacitor_SMD:C_0402_1005Metric","Samsung Electro-Mechanics","CL05A475MP5NRNC","C23733"
"C3,C10,C11","3","10u","Capacitor_SMD:C_0603_1608Metric","Samsung Electro-Mechanics","CL10A106KP8NNNC","C19702"
"C4,C6,C34","3","100n 50V","Capacitor_SMD:C_0402_1005Metric","Samsung Electro-Mechanics","CL05B104KB54PNC","C307331"
"C5,C7","2","4.7u","RP2350_80QFN_minimal:C_0402_1005Metric_small_pads","Samsung Electro-Mechanics","CL05A475MP5NRNC","C23733"
"C8,C9,C12,C13,C15,C16,C17,C18,C21,C23,C25,C26,C27,C28,C29,C30,C38","17","100n","Capacitor_SMD:C_0402_1005Metric","Samsung Electro-Mechanics","CL05B104KO5NNNC","C1525"
"C19,C20","2","15p","Capacitor_SMD:C_0402_1005Metric","Fenghua","0402CG150J500NT","C1548"
"C22,C24","2","1u","Capacitor_SMD:C_0402_1005Metric","Samsung Electro-Mechanics","CL05A105KA5NQNC","C52923"
"C35,C36,C37","3","22u","Capacitor_SMD:C_0603_1608Metric","Fenghua","0603X226M100NT","C60077"
"C39,C40","2","18p","Capacitor_SMD:C_0402_1005Metric","Fenghua","0402CG180J500NT","C1549"
"C42","1","100n 50V","Capacitor_SMD:C_0402_1005Metric","Murata","GRM155R71H104KE14D","C77020"
"D2,D8,D9","3","KT-0805G","LED_SMD:LED_0805_2012Metric","Hubei KENTO Elec","KT-0805G","C2297"
"D4","1","KT-0805Y","LED_SMD:LED_0805_2012Metric","Hubei KENTO Elec","KT-0805Y","C2296"
"D5,D6","2","KT-0805R","LED_SMD:LED_0805_2012Metric","NATIONSTAR","NCD0805R1","C84256"
"D7","1","KT-0805B","LED_SMD:LED_0805_2012Metric","Hubei KENTO Elec","KT-0805B","C2293"
"IC1","1","USB2422-I_MJ","USB2422-I_MJ:QFN50P400X400X100-25N","Microchip","USB2422-I/MJ","C220747"
"J1","1","Motor","Connector_Molex:Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal","Molex","532610371","C293630"
"J3","1","USB_C_Receptacle_USB2.0_14P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","Global Connector Technology","USB4105-GF-A-060","C3025063"
"J4","1","Slip Ring","JST PA 6P:CONN_BM06B-PASS-1_JST","JST","BM06B-PASS-TFT(LF)(SN)","C265376"
"J5","1","781715006","Molex Pico-EZmate 781715006:CONN06_781715006_MOL","Molex","781715006","C107412"
"J6","1","SM03B-SRSS-TB","Connector_JST:JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal","JST","SM03B-SRSS-TB(LF)(SN)","C160403"
"J9","1","SM04B-SRSS-TB_LF__SN_","SM04B-SRSS-TB:JST_SM04B-SRSS-TB_LF__SN_","JST","SM04B-SRSS-TB(LF)(SN)","C160404"
"L1","1","3.3u","AOTA-B201610S3R3-101-T:AOTAB201610S3R3101T","Abracon","AOTA-B201610S3R3-101-T","C42411119"
"PS1","1","TPSM84338RCJR","TPSM84338RCJR:CONV_TPSM84338RCJR","Texas Instruments","TPSM84338RCJR","C47122151"
"R3,R6","2","1.43k","Resistor_SMD:R_0402_1005Metric","Yageo","RC0402FR-071K43L","C163483"
"R4","1","10k","Resistor_SMD:R_0402_1005Metric","UNI-ROYAL","0402WGF1002TCE","C25744"
"R5,R22,R23,R24,R26","5","47k","Resistor_SMD:R_0402_1005Metric","UNI-ROYAL","0402WGF4702TCE","C25792"
"R11","1","270","Resistor_SMD:R_0402_1005Metric","Yageo","RC0402FR-07270RL","C163474"
