Ref,Val,Package,PosX,PosY,Rot,Side
"C43","100n","C_0402_1005Metric",171.300000,-117.800000,153.920000,bottom
"C44","10u","C_0603_1608Metric",170.403910,-118.759290,153.920000,bottom
"R1","470","R_0402_1005Metric",151.300000,-121.900000,-62.745000,bottom
"R2","10k","R_0402_1005Metric",151.600000,-117.300000,-152.745000,bottom
"C1","10u 50V","C_0805_2012Metric",144.594616,-118.500000,-90.000000,top
"C2","4.7u","C_0402_1005Metric",175.200000,-92.020000,-90.000000,top
"C3","10u","C_0603_1608Metric",150.400000,-126.200000,0.000000,top
"C4","100n 50V","C_0402_1005Metric",147.100000,-118.200000,90.000000,top
"C5","4.7u","C_0402_1005Metric_small_pads",172.220000,-92.381843,0.000000,top
"C6","100n 50V","C_0402_1005Metric",146.100000,-119.600000,-90.000000,top
"C7","4.7u","C_0402_1005Metric_small_pads",172.220000,-91.381843,0.000000,top
"C8","100n","C_0402_1005Metric",150.000000,-117.500000,-90.000000,top
"C9","100n","C_0402_1005Metric",150.000000,-124.900000,180.000000,top
"C10","10u","C_0603_1608Metric",134.100000,-82.500000,90.000000,top
"C11","10u","C_0603_1608Metric",140.500000,-82.300000,-90.000000,top
"C12","100n","C_0402_1005Metric",161.800000,-98.600000,180.000000,top
"C13","100n","C_0402_1005Metric",177.750000,-97.500000,0.000000,top
"C14","4.7u","C_0402_1005Metric",170.000000,-106.400000,-90.000000,top
"C15","100n","C_0402_1005Metric",168.400000,-107.380000,-90.000000,top
"C16","100n","C_0402_1005Metric",167.600000,-89.800000,90.000000,top
"C17","100n","C_0402_1005Metric",166.000000,-92.100000,180.000000,top
"C18","100n","C_0402_1005Metric",161.800000,-96.600000,180.000000,top
"C19","15p","C_0402_1005Metric",165.500000,-108.000000,-90.000000,top
"C20","15p","C_0402_1005Metric",165.500000,-111.300000,90.000000,top
"C21","100n","C_0402_1005Metric",176.200000,-93.800000,90.000000,top
"C22","1u","C_0402_1005Metric",155.400000,-80.600000,0.000000,top
"C23","100n","C_0402_1005Metric",158.100000,-85.200000,0.000000,top
"C24","1u","C_0402_1005Metric",152.980000,-80.600000,180.000000,top
"C25","100n","C_0402_1005Metric",149.800000,-86.300000,180.000000,top
"C26","100n","C_0402_1005Metric",157.800000,-87.200000,0.000000,top
"C27","100n","C_0402_1005Metric",177.750000,-98.500000,0.000000,top
"C28","100n","C_0402_1005Metric",162.200000,-101.800000,-90.000000,top
"C29","100n","C_0402_1005Metric",164.070000,-105.550000,180.000000,top
"C30","100n","C_0402_1005Metric",176.375000,-102.500000,0.000000,top
"C31","10u 50V","C_0805_2012Metric",128.900000,-95.200000,-90.000000,top
"C32","10u 50V","C_0805_2012Metric",126.600000,-91.700000,90.000000,top
"C33","10u 50V","C_0805_2012Metric",128.700000,-91.700000,90.000000,top
"C34","100n 50V","C_0402_1005Metric",130.250000,-91.900000,90.000000,top
"C35","22u","C_0603_1608Metric",137.100000,-85.700000,0.000000,top
"C36","22u","C_0603_1608Metric",137.100000,-87.300000,0.000000,top
"C37","22u","C_0603_1608Metric",137.100000,-88.900000,0.000000,top
"C38","100n","C_0402_1005Metric",136.600000,-90.200000,0.000000,top
"C39","18p","C_0402_1005Metric",156.160000,-88.300000,180.000000,top
"C40","18p","C_0402_1005Metric",153.580000,-88.300000,0.000000,top
