Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C31, C32, C33",0805,4,10u 50V,C440198
"C10, C11, C3, C44",0603,4,10u,C19702
"C12, C13, C15, C16, C17, C18, C21, C23, C25, C26, C27, C28, C29, C30, C38, C43, C8, C9",0402,18,100n,C1525
"C14, C2, C5, C7",0402,4,4.7u,C23733
"C19, C20",0402,2,15p,C1548
"C22, C24",0402,2,1u,C52923
"C34, C4, C6",0402,3,100n 50V,C307331
"C35, C36, C37",0603,3,22u,C60077
"C39, C40",0402,2,18p,C1549
C42,0402,1,100n 50V,C77020
"D2, D8, D9",0805,3,KT-0805G,C2297
D4,0805,1,KT-0805Y,C2296
"D5, D6",0805,2,KT-0805R,C84256
D7,0805,1,KT-0805B,C2293
IC1,QFN50P400X400X100-25N,1,USB2422-I_MJ,C220747
J1,Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal,1,Motor,C293630
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C3025063
J4,CONN_BM06B-PASS-1_JST,1,Slip Ring,C265376
J5,CONN06_781715006_MOL,1,781715006,C107412
J6,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,C160403
J9,JST_SM04B-SRSS-TB_LF__SN_,1,SM04B-SRSS-TB_LF__SN_,C160404
L1,AOTAB201610S3R3101T,1,3.3u,C42411119
PS1,CONV_TPSM84338RCJR,1,TPSM84338RCJR,C47122151
R1,0402,1,470,C25117
R11,0402,1,270,C163474
R13,0402,1,33,C25105
"R14, R15, R18, R34, R36, R41",0402,6,1k,C11702
"R16, R17",0402,2,27,C138021
"R19, R20",0402,2,100k,C25741
"R2, R4",0402,2,10k,C25744
R21,0402,1,12k,C25752
"R22, R23, R24, R26, R5",0402,5,47k,C25792
"R25, R27",0402,2,22k,C25768
R28,0402,1,330,C25104
R29,0402,1,110k,C138065
"R3, R6",0402,2,1.43k,C163483
R30,0402,1,15k,C25756
R31,0402,1,0,C17168
R32,0402,1,18k,C25762
"R38, R40",0402,2,360,C2930003
R39,0402,1,4.7k,C25900
SW1,SW_SPST_B3U-1000P,1,BOOTSEL,C843684
SW2,SW_SPST_B3U-1000P,1,RESET,C843684
SW3,SW_SPST_B3U-1000P,1,USER,C843684
U1,SOT-23-5,1,AP2112K-3.3,C23380830
U2,SOT-5X3_DRL_TEX,1,LM66200DRLR,C3235556
U3,RRW0024-MFG,1,PDRV8311HRRWR,C5218862
U4,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2354B,C39843328
U5,SOT-666,1,USBLC6-2P6,C2827693
Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,C20625731
Y2,7M24000MAAJT,1,7M-24.000MAAJ-T,C2450233
