"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R21";"R_0402_1005Metric";1;"12k";;;
2;"R38";"R_0402_1005Metric";1;"360";;;
3;"R9,R31,R8,R10,R7,R6";"R_0402_1005Metric";6;"0";;;
4;"R35,R2,R4,R34,R3";"R_0402_1005Metric";5;"510";;;
5;"R27,R25";"R_0402_1005Metric";2;"22k";;;
6;"D2,D8,D1,D3";"LED_0805_2012Metric";4;"KT-0805G";;;
7;"C28,C12,C18,C21,C8,C26,C16,C30,C13,C34,C42,C25,C17,C27,C15,C38,C6,C23,C29,C4,C9";"C_0402_1005Metric";21;"100n";;;
8;"D4";"LED_0805_2012Metric";1;"KT-0805Y";;;
9;"U3";"RRW0024-MFG";1;"PDRV8311HRRWR";;;
10;"U2";"SOT-5X3_DRL_TEX";1;"LM66200DRLR";;;
11;"Q3,Q2";"SOT-23";2;"PNP";;;
12;"C37,C36,C35";"C_0603_1608Metric";3;"22u";;;
13;"D6,D5";"LED_0805_2012Metric";2;"KT-0805R";;;
14;"J7";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
15;"C20,C19";"C_0402_1005Metric";2;"15p";;;
16;"J2";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"Conn_02x03_Odd_Even";;;
17;"R13";"R_0402_1005Metric";1;"33";;;
18;"R19,R20";"R_0402_1005Metric";2;"100k";;;
19;"C10,C33,C31,C11,C1,C3,C32";"C_0603_1608Metric";7;"10u";;;
20;"R23,R26,R5,R22,R24,R1,R36";"R_0402_1005Metric";7;"47k";;;
21;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
22;"R32";"R_0402_1005Metric";1;"18k";;;
23;"IC1";"QFN50P400X400X100-25N";1;"USB2422-I_MJ";;;
24;"J3";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_14P";;;
25;"PS1";"CONV_TPSM84338RCJR";1;"TPSM84338RCJR";;;
26;"R37,R12,R33,R39";"R_0402_1005Metric";4;"4.7k";;;
27;"C2,C7,C14,C5";"C_0603_1608Metric";4;"4.7u";;;
28;"C24,C22";"C_0402_1005Metric";2;"1u";;;
29;"R18,R14,R15";"R_0402_1005Metric";3;"1k";;;
30;"Q1";"SOT-23";1;"MMBT3904";;;
31;"R29";"R_0402_1005Metric";1;"110k";;;
32;"C40,C39";"C_0402_1005Metric";2;"18p";;;
33;"U5";"SOT-666";1;"USBLC6-2P6";;;
34;"C41";"C_0402_1005Metric";1;"100u";;;
35;"J4";"JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal";1;"Slip Ring";;;
36;"Y1";"XTAL_ABM8-272-T3";1;"ABM8-272-T3";;;
37;"J6";"JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal";1;"DEBUG";;;
38;"R28";"R_0402_1005Metric";1;"330";;;
39;"TP1";"TestPoint_Pad_D1.0mm";1;"STATUS";;;
40;"Y2";"7M24000MAAJT";1;"7M-24.000MAAJ-T";;;
41;"U4";"QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2354B";;;
42;"R30";"R_0402_1005Metric";1;"15k";;;
43;"D7";"LED_0805_2012Metric";1;"XL-1608UBC-04";;;
44;"R17,R16";"R_0402_1005Metric";2;"27";;;
45;"TP2";"TestPoint_Pad_D1.0mm";1;"REG PG";;;
46;"L1";"AOTAB201610S3R3101T";1;"3.3u";;;
47;"TP3";"TestPoint_Pad_D1.0mm";1;"REG 5V";;;
48;"J1";"Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal";1;"Motor";;;
49;"R11";"R_0402_1005Metric";1;"270";;;
