Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u 50V,C28241
"C10, C11, C3, C44",0603,4,10u,
"C12, C13, C15, C16, C17, C18, C21, C23, C25, C26, C27, C28, C29, C30, C38, C43, C8, C9",0402,18,100n,
"C14, C2, C5, C7",0402,4,4.7u,
"C19, C20",0402,2,15p,
"C22, C24",0402,2,1u,
"C31, C32, C33",0805,3,10u 50V,
"C34, C4, C6",0402,3,100n 50V,
"C35, C36, C37",0603,3,22u,
"C39, C40",0402,2,18p,
C42,0402,1,100n 250V,
"D2, D8, D9",0805,3,KT-0805G,
D4,0805,1,KT-0805Y,
"D5, D6",0805,2,KT-0805R,
D7,0805,1,XL-1608UBC-04,
IC1,QFN50P400X400X100-25N,1,USB2422-I_MJ,
J1,Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal,1,Motor,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J4,CONN_BM06B-PASS-1_JST,1,Slip Ring,
J5,CONN06_781715006_MOL,1,781715006,
J6,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,
J8,105162-0001_MOL,1,Micro_SD_Card,C3177046
J9,JST_SM04B-SRSS-TB_LF__SN_,1,SM04B-SRSS-TB_LF__SN_,C160404
L1,AOTAB201610S3R3101T,1,3.3u,
PS1,CONV_TPSM84338RCJR,1,TPSM84338RCJR,
R1,0402,1,470,
R11,0402,1,270,
R13,0402,1,33,
"R14, R15, R18, R34, R36, R41",0402,6,1k,
"R16, R17",0402,2,27,
"R19, R20",0402,2,100k,
"R2, R4",0402,2,10k,
R21,0402,1,12k,
"R22, R23, R24, R26, R5",0402,5,47k,
"R25, R27",0402,2,22k,
R28,0402,1,330,
R29,0402,1,110k,
R3,0402,1,510,
R30,0402,1,15k,
R31,0402,1,0,
R32,0402,1,18k,
R38,0402,1,360,
R39,0402,1,4.7k,
R40,0402,1,150,
R6,0402,1,1.43k,
SW1,SW_SPST_B3U-1000P,1,BOOTSEL,
SW2,SW_SPST_B3U-1000P,1,RESET,
SW3,SW_SPST_B3U-1000P,1,USER,
TP1,TestPoint_Pad_D1.0mm,1,STATUS,
TP10,TestPoint_Pad_D1.0mm,1,GP03,
"TP12, TP7",TestPoint_Pad_D1.0mm,2,GND,
TP2,TestPoint_Pad_D1.0mm,1,REG PG,
TP3,TestPoint_Pad_D1.0mm,1,REG 5V,
TP4,TestPoint_Pad_D1.0mm,1,3.3V,
TP5,TestPoint_Pad_D1.0mm,1,GP47,
TP6,TestPoint_Pad_D1.0mm,1,5V,
TP8,TestPoint_Pad_D1.0mm,1,U0,
TP9,TestPoint_Pad_D1.0mm,1,VMotor,
U1,SOT-23-5,1,AP2112K-3.3,C23380830
U2,SOT-5X3_DRL_TEX,1,LM66200DRLR,
U3,RRW0024-MFG,1,PDRV8311HRRWR,
U4,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2354B,
U5,SOT-666,1,USBLC6-2P6,
U6,rpi_rmc20452t,1,<value>,
Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,
Y2,7M24000MAAJT,1,7M-24.000MAAJ-T,
