Designator,Mid X,Mid Y,Rotation,Layer
C1,144.594616,-118.5,270.0,top
C10,134.1,-82.5,90.0,top
C11,140.5,-82.3,270.0,top
C12,161.8,-98.6,180.0,top
C13,177.75,-97.5,0.0,top
C14,170.0,-106.4,270.0,top
C15,168.4,-107.38,270.0,top
C16,167.6,-89.8,90.0,top
C17,166.0,-92.1,180.0,top
C18,161.8,-96.6,180.0,top
C19,165.5,-108.0,270.0,top
C2,175.2,-92.02,270.0,top
C20,165.5,-111.3,90.0,top
C21,176.2,-93.8,90.0,top
C22,155.4,-80.6,0.0,top
C23,158.1,-85.2,0.0,top
C24,152.98,-80.6,180.0,top
C25,149.8,-86.3,180.0,top
C26,157.8,-87.2,0.0,top
C27,177.75,-98.5,0.0,top
C28,162.2,-101.8,270.0,top
C29,164.07,-105.55,180.0,top
C3,150.4,-126.2,0.0,top
C30,176.375,-102.5,0.0,top
C31,128.9,-95.2,270.0,top
C32,126.6,-91.7,90.0,top
C33,128.7,-91.7,90.0,top
C34,130.25,-91.9,90.0,top
C35,137.1,-85.7,0.0,top
C36,137.1,-87.3,0.0,top
C37,137.1,-88.9,0.0,top
C38,136.6,-90.2,0.0,top
C39,156.16,-88.3,180.0,top
C4,147.1,-118.2,90.0,top
C40,153.58,-88.3,0.0,top
C42,144.95,-78.85,180.0,top
C43,171.3,-117.8,26.080000000000013,bottom
C44,170.40391,-118.75929,26.080000000000013,bottom
C5,172.22,-92.381843,0.0,top
C6,146.1,-119.6,270.0,top
C7,172.22,-91.381843,0.0,top
C8,150.0,-117.5,270.0,top
C9,150.0,-124.9,180.0,top
D2,129.3,-114.8,45.0,top
D4,162.1725,-82.5,180.0,top
D5,155.23625,-125.7625,270.0,top
D6,133.5,-97.2,270.0,top
D7,177.0,-104.8,90.0,top
D8,127.6,-113.1,45.0,top
D9,144.8,-83.6625,90.0,top
IC1,154.15,-83.95,180.0,top
J1,138.2,-114.6,0.0,top
J3,150.0,-73.295,180.0,top
J4,129.700001,-105.555109,180.0,top
J5,159.8,-118.5078,180.0,top
J6,173.5,-111.5,63.92,top
J8,172.50114,-110.964986,296.079,bottom
J9,167.085787,-82.914214,135.0,top
L1,172.4,-89.681843,0.0,top
PS1,133.25,-91.425,180.0,top
R1,151.3,-121.9,242.745,bottom
R11,163.11,-84.1,180.0,top
R13,175.2,-90.1,270.0,top
R14,165.99,-91.1,180.0,top
R15,168.7,-109.4,0.0,top
R16,168.6,-89.8,270.0,top
R17,169.7,-89.79,270.0,top
R18,171.6,-106.5,270.0,top
R19,147.3,-86.1,270.0,top
R2,151.6,-117.3,332.745,bottom
R20,147.3,-84.1,270.0,top
R21,158.1,-86.2,0.0,top
R22,149.8,-85.3,180.0,top
R23,149.8,-81.9,0.0,top
R24,149.8,-82.9,0.0,top
R25,149.11,-79.9,0.0,top
R26,149.8,-83.9,180.0,top
R27,149.11,-78.9,0.0,top
R28,144.95,-79.85,180.0,top
R29,137.8,-92.75,180.0,top
R3,130.2,-116.3,45.0,top
R30,136.3,-93.35,270.0,top
R31,134.8,-94.6,0.0,top
R32,131.9,-94.6,180.0,top
R34,153.6,-126.3,270.0,top
R36,135.9,-98.6,90.0,top
R38,178.7,-102.2,270.0,top
R39,126.1,-112.2,45.0,top
R4,147.1,-114.6,90.0,top
R40,144.79,-86.4,180.0,top
R41,176.9,-100.6,0.0,top
R5,151.7,-121.8,270.0,top
R6,148.2,-114.6,270.0,top
SW1,163.2,-90.4,0.0,top
SW2,159.7,-90.4,0.0,top
SW3,168.8,-116.5,243.92,top
U1,137.3625,-82.55,180.0,top
U2,133.0,-100.5,180.0,top
U3,148.899999,-121.370001,270.0,top
U4,169.2,-98.8,90.0,top
U5,157.7625,-79.65,90.0,top
U6,161.6,-122.5,152.745,bottom
Y1,162.6,-109.3,0.0,top
Y2,154.86,-91.25,180.0,top
