"Designator","Quantity","Value","Footprint","Manufacturer","MPN","LCSC"
"C1,C4","2","100n","Capacitor_SMD:C_0402_1005Metric","Fenghua","0402F104M500NT","C1581"
"C3","1","1u","Capacitor_SMD:C_0402_1005Metric","Samsung Electro-Mechanics","CL05A105KA5NQNC","C52923"
"J1","1","DATA","Connector_USB:USB_C_Receptacle_GCT_USB4110","Global Connector Technology","USB4110-GF-A","C5143397"
"J2","1","SLIP RING","JST PA 6P SMT:CONN_BM06B-PASS-1_JST","JST","BM06B-PASS-TFT(LF)(SN)","C265376"
"J3","1","POWER","Connector_USB:USB_C_Receptacle_GCT_USB4110","Global Connector Technology","USB4110-GF-A","C5143397"
"R1,R6","2","330","Resistor_SMD:R_0402_1005Metric","UNI-ROYAL","0402WGF3300TCE","C25104"
"R2,R3","2","5.1k","Resistor_SMD:R_0402_1005Metric","UNI-ROYAL","0402WGF5101TCE","C25905"
"R4,R7,R8,R9","4","10k","Resistor_SMD:R_0402_1005Metric","UNI-ROYAL","0402WGF1002TCE","C25744"
"R5","1","1k","Resistor_SMD:R_0805_2012Metric","UNI-ROYAL","AS05W2J0102T5E","C560481"
"U2","1","CH224K","Package_SO:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm","WCH","CH224K","C970725"
