Ref,Val,Package,PosX,PosY,Rot,Side
"C3","1u","C_0402_1005Metric",146.100000,-80.900000,-90.000000,bottom
"R4","10k","R_0402_1005Metric",153.800000,-85.600000,90.000000,bottom
"R5","1k","R_0805_2012Metric",144.500000,-81.612500,-90.000000,bottom
"R7","10k","R_0402_1005Metric",157.600000,-82.001924,60.000000,bottom
"R8","10k","R_0402_1005Metric",156.355000,-84.158327,60.000000,bottom
"R9","10k","R_0402_1005Metric",155.095000,-86.340711,60.000000,bottom
"U2","CH224K","SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm",149.750000,-82.862500,-90.000000,bottom
"C1","100n","C_0402_1005Metric",158.230192,-114.023727,-120.000000,top
"C4","100n","C_0402_1005Metric",155.400000,-88.100000,0.000000,top
"J1","DATA","USB_C_Receptacle_GCT_USB4110",165.714493,-109.218301,60.000000,top
"J2","SLIP RING","CONN_BM06B-PASS-1_JST",136.923016,-107.550000,120.000000,top
"J3","POWER","USB_C_Receptacle_GCT_USB4110",149.794229,-81.643594,180.000000,top
"R1","330","R_0402_1005Metric",159.096219,-114.523727,-120.000000,top
"R2","5.1k","R_0402_1005Metric",163.900000,-101.500000,60.000000,top
"R3","5.1k","R_0402_1005Metric",163.033974,-100.999999,60.000000,top
"R6","330","R_0402_1005Metric",155.399423,-87.130385,0.000000,top
