Designator,Mid X,Mid Y,Rotation,Layer
C1,158.230192,-114.023727,240.0,top
C3,146.1,-80.9,270.0,bottom
C4,155.4,-88.1,0.0,top
J1,165.714493,-109.218301,60.0,top
J2,136.923016,-107.55,120.0,top
J3,149.794229,-81.643594,180.0,top
R1,159.096219,-114.523727,240.0,top
R2,163.9,-101.5,60.0,top
R3,163.033974,-100.999999,60.0,top
R4,153.8,-85.6,90.0,bottom
R5,144.5,-81.6125,270.0,bottom
R6,155.399423,-87.130385,0.0,top
R7,157.6,-82.001924,120.0,bottom
R8,156.355,-84.158327,120.0,bottom
R9,155.095,-86.340711,120.0,bottom
U2,149.75,-82.8625,180.0,bottom
